test_id,text,expected_facet,predicted_facet_id,predicted_facet_name,expected_status,predicted_status,expected_score,predicted_score,confidence,evidence,reason,retrieval_rank,latency_ms,inference_error
TEST_018,I have worked mainly on database optimization for six years.,Specialist,FACET_018,Specialist,scored,scored,5.0,5.0,0.9,i have worked mainly on database optimization for six years.,Extracted clear conversational evidence for Specialist.,11.0,3.19,
TEST_019,I prefer to keep my distance at parties rather than join conversations.,Aloofness,FACET_019,Aloofness,scored,scored,5.0,4.0,0.9,i prefer to keep my distance at parties rather than join con,Extracted clear conversational evidence for Aloofness.,22.0,2.94,
TEST_020,"I made a mistake, admitted it immediately, and apologized.",Genuine,FACET_020,Genuine,scored,scored,5.0,5.0,0.9,"i made a mistake, admitted it immediately, and apologized.",Extracted clear conversational evidence for Genuine.,14.0,2.99,
TEST_021,"The project failed twice, but I kept working until I found the bug.",Determinedness,FACET_021,Determinedness,scored,scored,5.0,5.0,0.9,"the project failed twice, but i kept working until i found t",Extracted clear conversational evidence for Determinedness.,20.0,2.99,
TEST_022,I returned the extra change because keeping it would be dishonest.,HonestyHumility:,FACET_022,Honesty Humility,scored,not_observable,5.0,,0.99,,"Category header or structural section label, not an individual scoreable trait.",1.0,0.0,
TEST_023,I try to learn what matters to people before building a long-term relationship with them.,Relationship Building Themes:,FACET_023,Relationship Building Themes,scored,not_observable,5.0,,0.99,,"Category header or structural section label, not an individual scoreable trait.",1.0,0.0,
TEST_024,I enjoy difficult problems even when there is no reward for solving them.,Pure Challenge,FACET_024,Pure Challenge,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Pure Challenge' was not retrieved in top candidates.,,3.66,
TEST_025,"If 3 out of 5 experiments improve, I would not call that proof without considering the sample size.",Numerical Reasoning Subcomponents:,FACET_025,Numerical Reasoning Subcomponents,scored,not_observable,5.0,,0.99,,"Category header or structural section label, not an individual scoreable trait.",1.0,0.0,
TEST_026,I am comfortable discussing an opinion that is different from mine.,Openness,FACET_026,Openness,scored,scored,5.0,4.0,0.9,i am comfortable discussing an opinion that is different fro,Extracted clear conversational evidence for Openness.,23.0,2.8,
TEST_027,I trust myself to handle a difficult presentation.,SelfEsteem,FACET_027,SelfEsteem,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'SelfEsteem' was not retrieved in top candidates.,,2.53,
TEST_028,"I sorted the IDs 100A, 20B, 3C by the specified alphanumeric order.",Comparing alphanumeric data,FACET_028,Comparing alphanumeric data,scored,not_observable,4.0,,0.99,,Requires a standardized psychometric testing task or timed cognitive exam.,1.0,0.0,
TEST_029,I donated part of my bonus to help a colleague who was struggling.,Big-heartedness,FACET_029,Big-heartedness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Big-heartedness' was not retrieved in top candidates.,,4.55,
TEST_030,I keep checking the same lock repeatedly even after I know it is locked.,Compulsive activities,FACET_030,Compulsive activities,scored,insufficient_evidence,5.0,,0.85,,Conversational text does not express sufficient evidence for trait 'Compulsive activities'.,25.0,3.01,
TEST_031,Calling someone stupid because they asked a basic question is disrespectful.,Disrespect,FACET_031,Disrespect,scored,scored,4.0,4.0,0.9,calling someone stupid because they asked a basic question i,Extracted clear conversational evidence for Disrespect.,27.0,2.0,
TEST_032,I do not have a laboratory result available for this value.,FSH level,FACET_032,FSH level,not_observable,not_observable,,,0.99,,"Requires biological, laboratory, or physiological measurement; unobservable from text.",1.0,0.0,
TEST_033,I tend to reflect on what I did well and what I should change.,Self Perspective,FACET_033,Self Perspective,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Self Perspective' was not retrieved in top candidates.,,5.18,
TEST_034,I am desperate to get this job; I would accept almost any condition.,Desperation,FACET_034,Desperation,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Desperation' was not retrieved in top candidates.,,3.59,
TEST_035,I like meeting new people and becoming part of a group.,Affiliation Motivation:,FACET_035,Affiliation Motivation,scored,not_observable,5.0,,0.99,,"Category header or structural section label, not an individual scoreable trait.",1.0,0.0,
TEST_036,I can explain what the femur and tibia are and where they are located.,Anatomy knowledge,FACET_036,Anatomy knowledge,scored,not_observable,4.0,,0.99,,Requires a standardized psychometric testing task or timed cognitive exam.,1.0,0.0,
TEST_037,"Fine, do whatever you want. Clearly my opinion doesn't matter anyway.",Passive-Aggressive,FACET_037,Passive-Aggressive,scored,insufficient_evidence,5.0,,0.85,,Conversational text does not express sufficient evidence for trait 'Passive-Aggressive'.,29.0,2.94,
TEST_038,I feel a deep spiritual emptiness that I cannot easily explain.,Presence of Spiritual Pain,FACET_038,Presence of Spiritual Pain,scored,not_observable,4.0,,0.99,,"Esoteric, ritual, or spiritual metric not objectively evaluable from standard dialogue text.",1.0,0.0,
TEST_039,I regularly organize community meals through my spiritual group.,Role of Spirituality in Community Involvement,FACET_039,Role of Spirituality in Community Involvement,scored,not_observable,5.0,,0.99,,"Esoteric, ritual, or spiritual metric not objectively evaluable from standard dialogue text.",1.0,0.0,
TEST_040,I keep my workspace organized and follow a consistent routine.,Structure,FACET_040,Structure,scored,insufficient_evidence,5.0,,0.85,,Conversational text does not express sufficient evidence for trait 'Structure'.,20.0,3.68,
TEST_041,I chose a train instead of a car because I wanted to reduce my environmental impact.,Sustainable-transport usage,FACET_074,Sustainable-transport usage,scored,not_observable,4.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_042,I waited until everyone had boarded before taking the last seat.,Chivalrousness,FACET_042,Chivalrousness,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Chivalrousness' was not retrieved in top candidates.,,1.59,
TEST_043,I don't have records showing how many pilgrimages this person attended.,Pilgrimage participation count,FACET_043,Pilgrimage participation count,not_observable,not_observable,,,0.99,,"Esoteric, ritual, or spiritual metric not objectively evaluable from standard dialogue text.",1.0,0.0,
TEST_044,"When I meditate, I deliberately notice sounds, sensations, and thoughts without changing them.",Mindfulness facet: Observing,FACET_044,Mindfulness facet: Observing,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Mindfulness facet: Observing' was not retrieved in top candidates.,,2.0,
TEST_045,"I usually let the other person make the final decision, even when I have a preference.",Submissiveness,FACET_045,Submissiveness,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Submissiveness' was not retrieved in top candidates.,,2.7,
TEST_046,My current training cycle lasts twelve weeks.,Training-cycle length,FACET_046,Training-cycle length,scored,scored,5.0,4.0,0.9,my current training cycle lasts twelve weeks.,Extracted clear conversational evidence for Training-cycle length.,1.0,2.7,
TEST_047,I notice quickly when someone's tone changes and I become concerned about how they feel.,Sensitiveness,FACET_047,Sensitiveness,scored,insufficient_evidence,5.0,,0.85,,Conversational text does not express sufficient evidence for trait 'Sensitiveness'.,21.0,2.01,
TEST_048,I have been feeling anxious or irritated several times every day this week.,Negative Affect Frequency,FACET_048,Negative Affect Frequency,scored,not_observable,5.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_049,I generated three different ways to solve the same problem.,Innovation and Creativity Components:,FACET_049,Innovation and Creativity Components,scored,not_observable,5.0,,0.99,,"Category header or structural section label, not an individual scoreable trait.",1.0,0.0,
TEST_050,I set a difficult target and track my progress toward it every week.,Achievement Motivation:,FACET_050,Achievement Motivation,scored,not_observable,5.0,,0.99,,"Category header or structural section label, not an individual scoreable trait.",1.0,0.0,
TEST_051,I ask teammates for feedback after most presentations.,Feedback-giving frequency,FACET_051,Feedback-giving frequency,scored,not_observable,4.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_052,I do dance-cardio twice a week.,Dance-cardio sessions,FACET_052,Dance-cardio sessions,scored,not_observable,5.0,,0.9,,External system log or biographical verification required for 'Dance-cardio sessions'.,1.0,4.05,
TEST_053,I was genuinely excited to start the new project.,Enthusiasm,FACET_053,Enthusiasm,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Enthusiasm' was not retrieved in top candidates.,,2.75,
TEST_054,"Honestly, I know the answer is wrong, but I will say it because everyone else expects it.",Psychological construct: Social Desirability tendency,FACET_054,Psychological construct: Social Desirability tendency,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Psychological construct: Social Desirability tendency' was not retrieved in top candidates.,,2.85,
TEST_055,I missed the instructions because I was checking messages while the teacher was speaking.,Inattentiveness,FACET_055,Inattentiveness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Inattentiveness' was not retrieved in top candidates.,,2.79,
TEST_056,I had an idea but didn't speak up because I didn't want to challenge the group.,Unassertiveness,FACET_056,Unassertiveness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Unassertiveness' was not retrieved in top candidates.,,2.64,
TEST_057,I decided within five minutes after comparing the two options.,Decision-making decisiveness,FACET_057,Decision-making decisiveness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Decision-making decisiveness' was not retrieved in top candidates.,,3.0,
TEST_058,"Even during a stressful week, I can explain why my daily actions still matter to my long-term goals.",Sense-of-coherence score,FACET_058,Sense-of-coherence score,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Sense-of-coherence score' was not retrieved in top candidates.,,1.54,
TEST_059,I think the same rules should apply to my friend and to someone I dislike.,Justice-mindedness,FACET_059,Justice-mindedness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Justice-mindedness' was not retrieved in top candidates.,,2.55,
TEST_060,I subscribe to several paid software services.,Subscription count,FACET_060,Subscription count,scored,not_observable,4.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_061,I have been feeling persistently hopeless and unable to enjoy things.,Depression Symptoms,FACET_061,Depression Symptoms,scored,not_observable,5.0,,0.99,,Clinical diagnostic construct requiring accredited psychiatric/psychometric clinical evaluation.,1.0,0.0,
TEST_062,I can mentally rotate a cube and picture how it looks from another side.,Spatial perception,FACET_062,Spatial perception,scored,not_observable,5.0,,0.99,,Requires a standardized psychometric testing task or timed cognitive exam.,1.0,0.0,
TEST_063,Can you send the file by 5 PM?,Brevity,FACET_063,Brevity,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Brevity' was not retrieved in top candidates.,,3.14,
TEST_064,I label every folder and put each document in a predefined location.,Orderliness,FACET_064,Orderliness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Orderliness' was not retrieved in top candidates.,,3.3,
TEST_065,"My team includes people from several countries, and I enjoy learning from their perspectives.",Multiculturalism,FACET_065,Multiculturalism,scored,insufficient_evidence,5.0,,0.85,,Conversational text does not express sufficient evidence for trait 'Multiculturalism'.,30.0,2.34,
TEST_066,I would take a calculated business risk if the possible upside justified it.,Creative risk-taking tendency,FACET_066,Creative risk-taking tendency,scored,scored,4.0,4.0,0.9,i would take a calculated business risk if the possible upsi,Extracted clear conversational evidence for Creative risk-taking tendency.,1.0,3.12,
TEST_067,"The manual process takes an hour, even though a script could finish it in seconds.",Inefficiency,FACET_067,Inefficiency,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Inefficiency' was not retrieved in top candidates.,,2.51,
TEST_068,"I can explain what DNS, IP addresses, and HTTP do at a basic level.",Network basics,FACET_068,Network basics,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Network basics' was not retrieved in top candidates.,,4.27,
TEST_069,I consistently file names in alphabetical order without mixing the entries.,Alphabetical filing skills,FACET_069,Alphabetical filing skills,scored,not_observable,5.0,,0.99,,Requires a standardized psychometric testing task or timed cognitive exam.,1.0,0.0,
TEST_070,I prefer to plan my work independently and finish one task before starting another.,Work Styles,FACET_070,Work Styles,scored,scored,4.0,4.0,0.9,i prefer to plan my work independently and finish one task b,Extracted clear conversational evidence for Work Styles.,1.0,3.01,
TEST_071,"The first experiment failed, so I changed the setup and tried again.",Character strength: Perseverance,FACET_071,Character strength: Perseverance,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Character strength: Perseverance' was not retrieved in top candidates.,,3.5,
TEST_072,I enjoy friendly competitions and try hard to win.,Competition,FACET_072,Competition,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Competition' was not retrieved in top candidates.,,2.54,
TEST_073,"I noticed the sequence 2, 4, 8, 16 and predicted the next number.",Logical Sequence Identification,FACET_073,Logical Sequence Identification,scored,scored,5.0,4.0,0.9,"i noticed the sequence 2, 4, 8, 16 and predicted the next nu",Extracted clear conversational evidence for Logical Sequence Identification.,1.0,2.45,
TEST_074,I finish my assignments before the deadline even when nobody reminds me.,Hardworking,FACET_075,Hardworking,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Hardworking' was not retrieved in top candidates.,,4.17,
TEST_075,I often act on an impulse before thinking about the consequences.,Emotional-intelligence measure: Impulsiveness,FACET_076,Emotional-intelligence measure: Impulsiveness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Emotional-intelligence measure: Impulsiveness' was not retrieved in top candidates.,,5.16,
TEST_076,I told my manager the truth even though I knew it might hurt my chances.,Dishonesty,FACET_077,Dishonesty,scored,insufficient_evidence,1.0,,0.0,,Expected facet 'Dishonesty' was not retrieved in top candidates.,,1.93,
TEST_077,I prefer claims supported by reproducible evidence rather than personal anecdotes.,Preferred epistemology,FACET_078,Preferred epistemology,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Preferred epistemology' was not retrieved in top candidates.,,1.84,
TEST_078,I can recognize a song from only a few seconds of its melody.,Memory for Sounds,FACET_079,Memory for Sounds,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Memory for Sounds' was not retrieved in top candidates.,,2.81,
TEST_079,"Even after losing, I congratulated the other team sincerely.",Sportsmanship rating,FACET_080,Sportsmanship rating,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Sportsmanship rating' was not retrieved in top candidates.,,3.46,
TEST_080,I avoided responsibility and insisted someone else should handle a simple task.,Immaturity,FACET_081,Immaturity,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Immaturity' was not retrieved in top candidates.,,3.09,
TEST_081,I read medicine labels carefully and ask a pharmacist when instructions are unclear.,Health-literacy level,FACET_082,Health-literacy level,scored,not_observable,5.0,,0.99,,"Requires biological, laboratory, or physiological measurement; unobservable from text.",1.0,0.0,
TEST_082,"I estimated 49 × 21 as about 1,000 before calculating the exact answer.",Estimating Calculations,FACET_083,Estimating Calculations,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Estimating Calculations' was not retrieved in top candidates.,,1.0,
TEST_083,I have no clinical record that would justify diagnosing a sleep disorder from this conversation.,Sleep-disorder diagnosis,FACET_090,Sleep-disorder diagnosis,not_observable,not_observable,,,0.99,,"Requires biological, laboratory, or physiological measurement; unobservable from text.",1.0,0.0,
TEST_084,"I combined the customer feedback, error logs, and usage data before recommending a fix.",Synthesis of information,FACET_085,Synthesis of information,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Synthesis of information' was not retrieved in top candidates.,,5.2,
TEST_085,I naturally take responsibility when a group needs someone to coordinate the work.,Leadership Potential:,FACET_086,Leadership Potential,scored,not_observable,4.0,,0.99,,"Category header or structural section label, not an individual scoreable trait.",1.0,0.0,
TEST_086,I refused to manipulate the results even though it would have made my project look better.,Ethical standards,FACET_087,Ethical standards,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Ethical standards' was not retrieved in top candidates.,,3.24,
TEST_087,I was full of energy and kept encouraging everyone during the event.,High-spiritedness,FACET_088,High-spiritedness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'High-spiritedness' was not retrieved in top candidates.,,4.7,
TEST_088,"Before accepting the claim, I asked what evidence could disprove it.",Critical reasoning,FACET_089,Critical reasoning,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Critical reasoning' was not retrieved in top candidates.,,2.43,
TEST_089,"I listen carefully, repeat the main point, and ask a follow-up question.",Listening Skills Subcomponents:,FACET_091,Listening Skills Subcomponents,scored,not_observable,5.0,,0.99,,"Category header or structural section label, not an individual scoreable trait.",1.0,0.0,
TEST_090,We divided the tasks and helped each other when someone got stuck.,Collaboration,FACET_092,Collaboration,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Collaboration' was not retrieved in top candidates.,,2.3,
TEST_091,I can thread a needle without difficulty and control small hand movements precisely.,Precision of Movements,FACET_093,Precision of Movements,scored,scored,5.0,4.0,0.9,i can thread a needle without difficulty and control small h,Extracted clear conversational evidence for Precision of Movements.,1.0,4.07,
TEST_092,I introduced myself to the entire room without feeling uncomfortable.,Social Boldness,FACET_094,Social Boldness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Social Boldness' was not retrieved in top candidates.,,3.92,
TEST_093,I can remember and repeat a sequence of spoken numbers after hearing it once.,Auditory memory,FACET_095,Auditory memory,scored,not_observable,5.0,,0.99,,Requires a standardized psychometric testing task or timed cognitive exam.,1.0,0.0,
TEST_094,"I keep my room, calendar, and files organized most of the time.",Organized lifestyle,FACET_097,Organized lifestyle,scored,scored,5.0,4.0,0.9,"i keep my room, calendar, and files organized most of the ti",Extracted clear conversational evidence for Organized lifestyle.,1.0,5.52,
TEST_095,I created a checklist so everyone could participate in the discussion.,Encouraging participation,FACET_107,Encouraging participation,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Encouraging participation' was not retrieved in top candidates.,,4.07,
TEST_096,I insisted on following the procedure even though improvising would have been easier.,Selfcontrol,FACET_105,Selfcontrol,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Selfcontrol' was not retrieved in top candidates.,,4.31,
TEST_097,I prefer choosing my own goals instead of waiting for someone to tell me what to do.,SelfDirectedness,FACET_106,SelfDirectedness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'SelfDirectedness' was not retrieved in top candidates.,,4.02,
TEST_098,I missed the deadline because I kept delaying the final review.,Meeting Deadlines,FACET_109,Meeting Deadlines,scored,insufficient_evidence,1.0,,0.0,,Expected facet 'Meeting Deadlines' was not retrieved in top candidates.,,3.24,
TEST_099,"I cleaned the dataset, grouped the records, and calculated summary statistics.",Data Analysis,FACET_110,Data Analysis,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Data Analysis' was not retrieved in top candidates.,,3.62,
TEST_100,I can adapt my explanation depending on whether I am speaking to an engineer or a customer.,Social Interaction Skills,FACET_111,Social Interaction Skills,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Social Interaction Skills' was not retrieved in top candidates.,,3.56,
TEST_101,I believe I should always be the person in charge of other people's decisions.,Desire to influence others,FACET_331,Desire to influence others,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Desire to influence others' was not retrieved in top candidates.,,2.25,
TEST_102,I volunteer at a local food distribution program every month.,Volunteer Work,FACET_192,Volunteer Work,scored,scored,5.0,4.0,0.9,i volunteer at a local food distribution program every month,Extracted clear conversational evidence for Volunteer Work.,1.0,2.55,
TEST_103,I enjoy solving abstract problems and learning difficult technical concepts.,Intellect,FACET_193,Intellect,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Intellect' was not retrieved in top candidates.,,2.88,
TEST_104,I used a formula to calculate the area instead of guessing.,Use of Mathematical Formulas,FACET_194,Use of Mathematical Formulas,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Use of Mathematical Formulas' was not retrieved in top candidates.,,3.4,
TEST_105,I spoke harshly to the waiter because my order was late.,Coarseness,FACET_195,Coarseness,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Coarseness' was not retrieved in top candidates.,,3.57,
TEST_106,I notice when I am becoming angry and deliberately slow down before replying.,Managing emotions,FACET_286,Managing emotions,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Managing emotions' was not retrieved in top candidates.,,3.86,
TEST_107,I usually give people the benefit of the doubt until I have evidence otherwise.,Trust in others,FACET_364,Trust in others,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Trust in others' was not retrieved in top candidates.,,3.04,
TEST_108,I was comfortable telling my teammate that I was worried about the project.,Comfort with Vulnerability,FACET_368,Comfort with Vulnerability,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Comfort with Vulnerability' was not retrieved in top candidates.,,2.39,
TEST_109,I often make jokes that are intentionally strange or unconventional.,Quirkiness,FACET_378,Quirkiness,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Quirkiness' was not retrieved in top candidates.,,2.62,
TEST_110,"When my first solution failed, I used the failure to design a better second approach.",Creative resilience,FACET_379,Creative resilience,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Creative resilience' was not retrieved in top candidates.,,3.5,
TEST_111,I can process a long list of simple comparisons quickly without losing track.,Rapid cognitive processing,FACET_380,Rapid cognitive processing,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Rapid cognitive processing' was not retrieved in top candidates.,,2.46,
TEST_112,I greet new coworkers warmly and try to make them feel comfortable.,Cordiality,FACET_381,Cordiality,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Cordiality' was not retrieved in top candidates.,,3.2,
TEST_113,I use walking meditation rather than sitting meditation because movement helps me focus.,Types of Mindfulness Techniques Used,FACET_382,Types of Mindfulness Techniques Used,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Types of Mindfulness Techniques Used' was not retrieved in top candidates.,,3.18,
TEST_114,"I compared opportunity cost, incentives, and scarcity before choosing between the two options.",Economic reasoning,FACET_383,Economic reasoning,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Economic reasoning' was not retrieved in top candidates.,,3.02,
TEST_115,I followed the group's decision even though I privately disagreed with it.,Conformity,FACET_384,Conformity,scored,insufficient_evidence,4.0,,0.0,,Expected facet 'Conformity' was not retrieved in top candidates.,,4.22,
TEST_116,I spend time teaching my dog new enrichment games.,Pet-enrichment activities count,FACET_385,Pet-enrichment activities count,scored,not_observable,5.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
TEST_117,I often stop to notice the composition and lighting in paintings.,Aesthetic Appreciation,FACET_223,Aesthetic Appreciation,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Aesthetic Appreciation' was not retrieved in top candidates.,,2.0,
TEST_118,"When I am stressed, I prefer someone to listen rather than immediately give me a solution.",Type of Support Preferred (Emotional vs. Practical),FACET_387,Type of Support Preferred (Emotional vs. Practical),scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Type of Support Preferred (Emotional vs. Practical)' was not retrieved in top candidates.,,2.82,
TEST_119,I can calculate simple percentages mentally without writing them down.,Mental Arithmetic Speed,FACET_388,Mental Arithmetic Speed,scored,not_observable,4.0,,0.99,,Requires a standardized psychometric testing task or timed cognitive exam.,1.0,0.0,
TEST_120,"When someone annoys me, I can usually stay calm instead of snapping.",Patience: Resistance to anger,FACET_389,Patience: Resistance to anger,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Patience: Resistance to anger' was not retrieved in top candidates.,,3.5,
TEST_121,I spend too much time trying to make every small detail flawless.,Flawlessness,FACET_390,Flawlessness,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Flawlessness' was not retrieved in top candidates.,,4.23,
TEST_122,I believe I can learn the skills needed to build this project.,Self-Efficacy,FACET_391,Self-Efficacy,scored,insufficient_evidence,5.0,,0.0,,Expected facet 'Self-Efficacy' was not retrieved in top candidates.,,1.67,
TEST_123,I can write a small Python script to read a CSV and transform its columns.,Computer Skills:,FACET_392,Computer Skills,scored,not_observable,4.0,,0.99,,"Category header or structural section label, not an individual scoreable trait.",1.0,0.0,
TEST_124,I checked the spelling of the report before submitting it.,Spelling Accuracy,FACET_394,Spelling Accuracy,scored,not_observable,5.0,,0.99,,Requires a standardized psychometric testing task or timed cognitive exam.,1.0,0.0,
TEST_125,I keep a consistent bedtime and wake up at roughly the same time each day.,Wake-time consistency,FACET_350,Wake-time consistency,scored,not_observable,5.0,,0.99,,"Requires objective external tracking, sensor data, or historical log verification.",1.0,0.0,
