facet_id,raw_facet,normalized_facet,facet_type,conversation_observable,sensitivity,scoring_definition,scoring_anchors,abstention_reason,quality_flag
FACET_014,Cunningness,Cunningness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Cunningness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Cunningness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Cunningness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_015,Adventure-Seeking Behavior,Adventure-Seeking Behavior,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Adventure-Seeking Behavior' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Adventure-Seeking Behavior through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Adventure-Seeking Behavior or opposing behavioral tendencies in dialogue.""}",,valid
FACET_016,Compassion Fatigue,Compassion Fatigue,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Compassion Fatigue' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Compassion Fatigue through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Compassion Fatigue or opposing behavioral tendencies in dialogue.""}",,valid
FACET_017,Moroseness,Moroseness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Moroseness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Moroseness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Moroseness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_018,Specialist,Specialist,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Specialist' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Specialist through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Specialist or opposing behavioral tendencies in dialogue.""}",,valid
FACET_019,Aloofness,Aloofness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Aloofness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Aloofness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Aloofness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_020,Genuine,Genuine,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Genuine' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Genuine through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Genuine or opposing behavioral tendencies in dialogue.""}",,valid
FACET_021,Determinedness,Determinedness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Determinedness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Determinedness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Determinedness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_022,HonestyHumility:,Honesty Humility,header_label,False,low,Category header label: 'Honesty Humility'. Not an evaluable individual facet.,,"Category header or structural section label, not an individual scoreable trait.",header_row
FACET_023,Relationship Building Themes:,Relationship Building Themes,header_label,False,low,Category header label: 'Relationship Building Themes'. Not an evaluable individual facet.,,"Category header or structural section label, not an individual scoreable trait.",header_row
FACET_024,Pure Challenge,Pure Challenge,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Pure Challenge' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Pure Challenge through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Pure Challenge or opposing behavioral tendencies in dialogue.""}",,valid
FACET_025,Numerical Reasoning Subcomponents:,Numerical Reasoning Subcomponents,header_label,False,low,Category header label: 'Numerical Reasoning Subcomponents'. Not an evaluable individual facet.,,"Category header or structural section label, not an individual scoreable trait.",header_row
FACET_026,Openness,Openness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Openness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Openness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Openness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_027,SelfEsteem,Self Esteem,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Self Esteem' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Self Esteem through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Self Esteem or opposing behavioral tendencies in dialogue.""}",,camelcase_reformatted
FACET_028,Comparing alphanumeric data,Comparing alphanumeric data,cognitive_skill_test,False,medium,Standardized cognitive or psychomotor test metric: 'Comparing alphanumeric data'.,,Requires a standardized psychometric testing task or timed cognitive exam.,valid
FACET_029,Big-heartedness,Big-heartedness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Big-heartedness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Big-heartedness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Big-heartedness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_030,Compulsive activities,Compulsive activities,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Compulsive activities' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Compulsive activities through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Compulsive activities or opposing behavioral tendencies in dialogue.""}",,valid
FACET_031,Disrespect,Disrespect,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Disrespect' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Disrespect through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Disrespect or opposing behavioral tendencies in dialogue.""}",,valid
FACET_032,FSH level,FSH level,medical_biomarker,False,clinical_medical,"Medical, biological, or physiological biomarker: 'FSH level'.",,"Requires biological, laboratory, or physiological measurement; unobservable from text.",valid
FACET_033,Self Perspective,Self Perspective,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Self Perspective' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Self Perspective through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Self Perspective or opposing behavioral tendencies in dialogue.""}",,valid
FACET_034,Desperation,Desperation,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Desperation' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Desperation through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Desperation or opposing behavioral tendencies in dialogue.""}",,valid
FACET_035,Affiliation Motivation:,Affiliation Motivation,header_label,False,low,Category header label: 'Affiliation Motivation'. Not an evaluable individual facet.,,"Category header or structural section label, not an individual scoreable trait.",header_row
FACET_036,Anatomy knowledge,Anatomy knowledge,cognitive_skill_test,False,medium,Standardized cognitive or psychomotor test metric: 'Anatomy knowledge'.,,Requires a standardized psychometric testing task or timed cognitive exam.,valid
FACET_037,Passive-Aggressive,Passive-Aggressive,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Passive-Aggressive' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Passive-Aggressive through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Passive-Aggressive or opposing behavioral tendencies in dialogue.""}",,valid
FACET_038,Presence of Spiritual Pain,Presence of Spiritual Pain,esoteric_spiritual,False,sensitive_personal,Esoteric/spiritual practice or belief metric: 'Presence of Spiritual Pain'.,,"Esoteric, ritual, or spiritual metric not objectively evaluable from standard dialogue text.",valid
FACET_039,Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,esoteric_spiritual,False,sensitive_personal,Esoteric/spiritual practice or belief metric: 'Role of Spirituality in Community Involvement'.,,"Esoteric, ritual, or spiritual metric not objectively evaluable from standard dialogue text.",valid
FACET_040,Structure,Structure,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Structure' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Structure through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Structure or opposing behavioral tendencies in dialogue.""}",,valid
FACET_041,Eco-tourism trips,Eco-tourism trips,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Eco-tourism trips' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Eco-tourism trips through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Eco-tourism trips or opposing behavioral tendencies in dialogue.""}",,valid
FACET_042,Chivalrousness,Chivalrousness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Chivalrousness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Chivalrousness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Chivalrousness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_043,Pilgrimage participation count,Pilgrimage participation count,esoteric_spiritual,False,sensitive_personal,Esoteric/spiritual practice or belief metric: 'Pilgrimage participation count'.,,"Esoteric, ritual, or spiritual metric not objectively evaluable from standard dialogue text.",valid
FACET_044,Mindfulness facet: Observing,Mindfulness facet: Observing,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Mindfulness facet: Observing' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Mindfulness facet: Observing through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Mindfulness facet: Observing or opposing behavioral tendencies in dialogue.""}",,valid
FACET_045,Submissiveness,Submissiveness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Submissiveness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Submissiveness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Submissiveness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_046,Training-cycle length,Training-cycle length,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Training-cycle length' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Training-cycle length through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Training-cycle length or opposing behavioral tendencies in dialogue.""}",,valid
FACET_047,Sensitiveness,Sensitiveness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Sensitiveness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Sensitiveness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Sensitiveness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_048,Negative Affect Frequency,Negative Affect Frequency,external_biographical,False,sensitive_personal,"Objective historical, lifestyle, or biographical tracking metric: 'Negative Affect Frequency'.",,"Requires objective external tracking, sensor data, or historical log verification.",valid
FACET_049,Innovation and Creativity Components:,Innovation and Creativity Components,header_label,False,low,Category header label: 'Innovation and Creativity Components'. Not an evaluable individual facet.,,"Category header or structural section label, not an individual scoreable trait.",header_row
FACET_050,Achievement Motivation:,Achievement Motivation,header_label,False,low,Category header label: 'Achievement Motivation'. Not an evaluable individual facet.,,"Category header or structural section label, not an individual scoreable trait.",header_row
FACET_051,Feedback-giving frequency,Feedback-giving frequency,external_biographical,False,sensitive_personal,"Objective historical, lifestyle, or biographical tracking metric: 'Feedback-giving frequency'.",,"Requires objective external tracking, sensor data, or historical log verification.",valid
FACET_052,Dance-cardio sessions,Dance-cardio sessions,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Dance-cardio sessions' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Dance-cardio sessions through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Dance-cardio sessions or opposing behavioral tendencies in dialogue.""}",,valid
FACET_053,Enthusiasm,Enthusiasm,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Enthusiasm' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Enthusiasm through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Enthusiasm or opposing behavioral tendencies in dialogue.""}",,valid
FACET_054,Psychological construct: Social Desirability tendency,Psychological construct: Social Desirability tendency,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Psychological construct: Social Desirability tendency' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Psychological construct: Social Desirability tendency through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Psychological construct: Social Desirability tendency or opposing behavioral tendencies in dialogue.""}",,valid
FACET_055,Inattentiveness,Inattentiveness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Inattentiveness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Inattentiveness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Inattentiveness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_056,Unassertiveness,Unassertiveness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Unassertiveness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Unassertiveness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Unassertiveness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_057,Decision-making decisiveness,Decision-making decisiveness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Decision-making decisiveness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Decision-making decisiveness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Decision-making decisiveness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_058,Sense-of-coherence score,Sense-of-coherence score,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Sense-of-coherence score' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Sense-of-coherence score through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Sense-of-coherence score or opposing behavioral tendencies in dialogue.""}",,valid
FACET_059,Justice-mindedness,Justice-mindedness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Justice-mindedness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Justice-mindedness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Justice-mindedness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_060,Subscription count,Subscription count,external_biographical,False,sensitive_personal,"Objective historical, lifestyle, or biographical tracking metric: 'Subscription count'.",,"Requires objective external tracking, sensor data, or historical log verification.",valid
FACET_061,Depression Symptoms,Depression Symptoms,psychological_trait,False,high,Clinical psychometric construct: 'Depression Symptoms'.,,Clinical diagnostic construct requiring accredited psychiatric/psychometric clinical evaluation.,valid
FACET_062,Spatial perception,Spatial perception,cognitive_skill_test,False,medium,Standardized cognitive or psychomotor test metric: 'Spatial perception'.,,Requires a standardized psychometric testing task or timed cognitive exam.,valid
FACET_063,Brevity,Brevity,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Brevity' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Brevity through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Brevity or opposing behavioral tendencies in dialogue.""}",,valid
FACET_064,Orderliness,Orderliness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Orderliness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Orderliness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Orderliness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_065,Multiculturalism,Multiculturalism,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Multiculturalism' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Multiculturalism through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Multiculturalism or opposing behavioral tendencies in dialogue.""}",,valid
FACET_066,Creative risk-taking tendency,Creative risk-taking tendency,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Creative risk-taking tendency' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Creative risk-taking tendency through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Creative risk-taking tendency or opposing behavioral tendencies in dialogue.""}",,valid
FACET_067,Inefficiency,Inefficiency,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Inefficiency' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Inefficiency through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Inefficiency or opposing behavioral tendencies in dialogue.""}",,valid
FACET_068,Network basics,Network basics,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Network basics' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Network basics through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Network basics or opposing behavioral tendencies in dialogue.""}",,valid
FACET_069,Alphabetical filing skills,Alphabetical filing skills,cognitive_skill_test,False,medium,Standardized cognitive or psychomotor test metric: 'Alphabetical filing skills'.,,Requires a standardized psychometric testing task or timed cognitive exam.,valid
FACET_070,Work Styles,Work Styles,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Work Styles' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Work Styles through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Work Styles or opposing behavioral tendencies in dialogue.""}",,valid
FACET_071,Character strength: Perseverance,Character strength: Perseverance,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Character strength: Perseverance' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Character strength: Perseverance through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Character strength: Perseverance or opposing behavioral tendencies in dialogue.""}",,valid
FACET_072,Competition,Competition,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Competition' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Competition through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Competition or opposing behavioral tendencies in dialogue.""}",,valid
FACET_073,Logical Sequence Identification,Logical Sequence Identification,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Logical Sequence Identification' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Logical Sequence Identification through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Logical Sequence Identification or opposing behavioral tendencies in dialogue.""}",,valid
FACET_074,Sustainable-transport usage,Sustainable-transport usage,external_biographical,False,sensitive_personal,"Objective historical, lifestyle, or biographical tracking metric: 'Sustainable-transport usage'.",,"Requires objective external tracking, sensor data, or historical log verification.",valid
FACET_075,Hardworking,Hardworking,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Hardworking' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Hardworking through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Hardworking or opposing behavioral tendencies in dialogue.""}",,valid
FACET_076,Emotional-intelligence measure: Impulsiveness,Emotional-intelligence measure: Impulsiveness,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Emotional-intelligence measure: Impulsiveness' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Emotional-intelligence measure: Impulsiveness through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Emotional-intelligence measure: Impulsiveness or opposing behavioral tendencies in dialogue.""}",,valid
FACET_077,Dishonesty,Dishonesty,conversational_trait,True,medium,"Evaluates conversational text for evidence of 'Dishonesty' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Dishonesty through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Dishonesty or opposing behavioral tendencies in dialogue.""}",,valid
FACET_078,Preferred epistemology,Preferred epistemology,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Preferred epistemology' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Preferred epistemology through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Preferred epistemology or opposing behavioral tendencies in dialogue.""}",,valid
FACET_079,Memory for Sounds,Memory for Sounds,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Memory for Sounds' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Memory for Sounds through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Memory for Sounds or opposing behavioral tendencies in dialogue.""}",,valid
FACET_080,Sportsmanship rating,Sportsmanship rating,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Sportsmanship rating' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Sportsmanship rating through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Sportsmanship rating or opposing behavioral tendencies in dialogue.""}",,valid
FACET_081,Immaturity,Immaturity,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Immaturity' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Immaturity through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Immaturity or opposing behavioral tendencies in dialogue.""}",,valid
FACET_082,Health-literacy level,Health-literacy level,medical_biomarker,False,clinical_medical,"Medical, biological, or physiological biomarker: 'Health-literacy level'.",,"Requires biological, laboratory, or physiological measurement; unobservable from text.",valid
FACET_083,Estimating Calculations,Estimating Calculations,conversational_trait,True,low,"Evaluates conversational text for evidence of 'Estimating Calculations' based on language style, tone, expressed sentiment, and interpersonal posture.","{""high"": ""Demonstrates clear, consistent evidence of high Estimating Calculations through explicit statements, tone, or interaction pattern."", ""low"": ""Demonstrates explicit evidence of low Estimating Calculations or opposing behavioral tendencies in dialogue.""}",,valid
