case_id,conversation,expected_facet,expected_facet_normalized,bm25_rank,dense_rank,rrf_rank,final_rank,hit_at_1,hit_at_5,hit_at_10,hit_at_20,hit_at_30,failure_type,top1_facet,top2_facet,top3_facet,top4_facet,top5_facet,top6_facet,top7_facet,top8_facet,top9_facet,top10_facet
TEST_018,"I made a mistake, admitted it immediately, and apologized.",Genuine,Genuine,14,3,3,3,0,1,0,1,1,TARGET_RETRIEVED,Risktaking,Hesitation,Genuine,Naivety,Sensitiveness,Cunningness,Inefficiency,Use of Nature as a Stress Reliever,Dishonesty,Social-cognition variable: Faux Pas Recognition accuracy
TEST_019,"The project failed twice, but I kept working until I found the bug.",Determinedness,Determinedness,20,999,39,39,0,0,0,0,0,RETRIEVAL_MISS,Pure Challenge,Compassion Fatigue,Risktaking,Psychological construct: Perfectionistic Strivings,Naivety,Troubleshooting technical issues,Acidity,Creative resilience,Common-sense,Creativity in solutions
TEST_020,I returned the extra change because keeping it would be dishonest.,HonestyHumility,HonestyHumility,999,999,999,999,0,0,0,0,0,RETRIEVAL_MISS,Risktaking,Self-improvement,Naivety,Self Perspective,Dishonesty,Originality,Acidity,Suspicion,Common-sense,Hesitation
TEST_021,I try to learn what matters to people before building a long-term relationship with them.,Relationship Building Themes,Relationship Building Themes,999,999,999,999,0,0,0,0,0,RETRIEVAL_MISS,Desire to influence others,Assertiveness and control in relationships,Contribution to Group Goals,Alignment with societal roles,Risktaking,Significance: Desire to make an impact,Self Esteem,Genuine,Use of Nature as a Stress Reliever,Attitude toward learning
TEST_022,I enjoy difficult problems even when there is no reward for solving them.,Pure Challenge,Pure Challenge,999,2,9,9,0,0,0,1,1,TARGET_RETRIEVED,Discontentment,Hardworking,Desperation,Enthusiasm,Inefficiency,Risktaking,Boredom Susceptibility,Naivety,Pure Challenge,Acidity
TEST_023,"If 3 out of 5 experiments improve, I would not call that proof without considering the sample size.",Numerical Reasoning Subcomponents,Numerical Reasoning Subcomponents,999,999,999,999,0,0,0,0,0,RETRIEVAL_MISS,Acidity,Inefficiency,Determinedness,Eating Habits (Home-Cooked vs. Eating Out),Risktaking,Statistical Reasoning,Naivety,Use of Mathematical Formulas,Self-improvement,Hesitation
TEST_024,I am comfortable discussing an opinion that is different from mine.,Openness,Openness,23,999,43,43,0,0,0,0,0,RETRIEVAL_MISS,Naivety,Self Perspective,Determinedness,Significance: Desire to make an impact,Risktaking,Preferred epistemology,Disagreeableness,Acidity,Value orientation: Universalism,Common-sense
TEST_025,I trust myself to handle a difficult presentation.,SelfEsteem,SelfEsteem,999,999,999,999,0,0,0,0,0,RETRIEVAL_MISS,Trust in others,Risktaking,Discontentment,Cunningness,Assertiveness and control in relationships,Hesitation,Pure Challenge,Use of Nature as a Stress Reliever,Self Perspective,Contribution to Group Goals
TEST_026,"I sorted the IDs 100A, 20B, 3C by the specified alphanumeric order.",Comparing alphanumeric data,Comparing alphanumeric data,999,999,999,999,0,0,0,0,0,RETRIEVAL_MISS,Acidity,Risktaking,Orderliness,Naivety,Initiative,Logical Sequence Identification,Common-sense,Binding foundations index,Hesitation,Ethical leadership rating
TEST_027,I donated part of my bonus to help a colleague who was struggling.,Big-heartedness,Big-heartedness,999,999,999,999,0,0,0,0,0,RETRIEVAL_MISS,Contribution to Group Goals,Discontentment,Enthusiasm,Use of Nature as a Stress Reliever,Volunteer Work,Desire to influence others,Encouraging participation,Patience: Resistance to anger,Gamified-finance-app usage,Significance: Desire to make an impact
TEST_028,I keep checking the same lock repeatedly even after I know it is locked.,Compulsive activities,Compulsive activities,25,999,47,47,0,0,0,0,0,RETRIEVAL_MISS,Assertiveness and control in relationships,Openness,Risktaking,Safety compliance,Naivety,Suspicion,Acidity,Mindfulness facet: Observing,Common-sense,Information Retention
TEST_029,Calling someone stupid because they asked a basic question is disrespectful.,Disrespect,Disrespect,27,2,3,3,0,1,0,1,1,TARGET_RETRIEVED,Naivety,Acidity,Disrespect,Cunningness,Statistical Reasoning,Pure Challenge,Use of Nature as a Stress Reliever,Risktaking,Bravery,Intellect
TEST_030,I do not have a laboratory result available for this value.,FSH level,FSH level,999,999,999,999,0,0,0,0,0,RETRIEVAL_MISS,Acidity,Value orientation: Universalism,Merriness,Inefficiency,Use of Nature as a Stress Reliever,Estimating Calculations,Risktaking,Psychological construct: Consummatory Pleasure scale,Naivety,Honesty-humility trait score
